,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB61,0.0,0.6833540819314553,0.24325097218132563,0.0,0.0,0.07339494588721902
DC_PB62,0.0,0.5139175258889614,0.27299033697430763,0.0,0.0,0.21309213713673103
HSC_PB63,0.097312561140771,0.009522323429777125,0.8336257345930769,0.0,0.0,0.05953938083637494
DC_PB64,0.00765433034461684,0.6777852691223916,0.2570183800540818,0.0,0.0,0.05754202047890983
Monocytes_PB65,0.0,0.10745566449627258,0.3604389493725868,0.01318866001808281,0.0,0.5189167261130578
DC_PB66,0.0,0.7577052126693093,0.24229478733069054,0.0,0.0,0.0
DC_PB67,0.0,0.48303309148974866,0.29784620053571664,0.06287622910959581,0.0,0.1562444788649389
HSC_PB68,0.0,0.08503476584911243,0.7434227034690483,0.0,0.0,0.1715425306818393
HSC_PB69,0.0,0.13456248513805716,0.4798571220355058,0.23435576680652437,0.0,0.15122462601991288
B cells_PB70,0.7115749002189504,0.0,0.2884250997810497,0.0,0.0,0.0
HSC_PB71,0.0564079662698209,0.0,0.783376828336756,0.0,0.0,0.160215205393423
DC_PB72,0.0,0.4882518337655048,0.30487911861537903,0.020872783110209903,0.011281069433207225,0.17471519507569896
NK cells_PB73,0.0,0.25074385218153294,0.34714458301842027,0.08611193621776521,0.0,0.31599962858228176
T cells_PB74,0.0,0.046888412697738815,0.36743814838389977,0.0,0.0,0.5856734389183614
Monocytes_PB75,0.0,0.05327172989330278,0.34910721170286146,0.41326996511067754,0.0,0.1843510932931582
NK cells_PB76,0.0,0.0550574875444007,0.301245425988114,0.0,0.615304021866706,0.028393064600779443
Monocytes_PB77,0.0,0.07995826548691563,0.4002922043256717,0.3735339133880012,0.0,0.14621561679941145
T cells_PB78,0.0,0.10740094676242747,0.3384828272109356,0.3816543464476215,0.08041863001361484,0.09204324956540064
B cells_PB79,0.4080316914681522,0.16516746356256404,0.32595280156604695,0.05002038562023984,0.0,0.05082765778299692
B cells_PB80,0.09655724854445533,0.12993679891899915,0.3804528869040482,0.0,0.0,0.3930530656324973
